,date,Postcode,geography code,Rural Urban,Variable: All usual residents; measures: Value,Variable: Males; measures: Value,Variable: Females; measures: Value,Variable: Lives in a household; measures: Value,Variable: Lives in a communal establishment; measures: Value,Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value,Variable: Area (Hectares); measures: Value,Variable: Density (number of persons per hectare); measures: Value,Longitude,Latitude,Population
67,2011,BD15 9,BD15 9,Total,3008,1485,1523,3008,0,24,147.37,20.4,-1.83142,53.811,2886.0
68,2011,BD16 1,BD16 1,Total,9433,4560,4873,9390,43,118,1424.23,6.6,-1.84104,53.8374,9102.0
69,2011,BD16 2,BD16 2,Total,3422,1664,1758,3422,0,54,215.49,15.9,-1.83805,53.8518,3545.0
70,2011,BD16 3,BD16 3,Total,5776,2839,2937,5776,0,127,1395.69,4.1,-1.8212,53.8576,5924.0
71,2011,BD16 4,BD16 4,Total,7172,3641,3531,7078,94,145,209.16,34.3,-1.83072,53.8516,7059.0
72,2011,BD17 5,BD17 5,Total,8187,4027,4160,8187,0,106,871.98,9.4,-1.779,53.8453,7791.0
73,2011,BD17 6,BD17 6,Total,6188,2949,3239,6102,86,82,162.14,38.2,-1.76244,53.8485,6512.0
74,2011,BD17 7,BD17 7,Total,3526,1767,1759,3526,0,25,606.71,5.8,-1.76552,53.8413,3689.0
75,2011,BD18 1,BD18 1,Total,7192,3533,3659,7192,0,51,179.26,40.1,-1.75861,53.8309,7020.0
76,2011,BD18 2,BD18 2,Total,6828,3342,3486,6826,2,52,164.63,41.5,-1.76913,53.8288,7208.0
77,2011,BD18 3,BD18 3,Total,5448,2719,2729,5357,91,57,192.35,28.3,-1.78132,53.8317,5541.0
78,2011,BD18 4,BD18 4,Total,7790,3740,4050,7615,175,111,307.92,25.3,-1.79527,53.8336,7523.0
79,2011,BD19 3,BD19 3,Total,5989,2978,3011,5910,79,40,193.35,31.0,-1.71764,53.7265,5151.0
80,2011,BD19 4,BD19 4,Total,9436,4628,4808,9379,57,77,643.67,14.7,-1.69662,53.7303,9562.0
